is_wc,home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_rate,h2h_matches,composure_diff,mentality_diff,squad_value_ratio,ca_diff,pace_diff,rank_diff,is_host,home_injured,away_injured,availability_diff,is_wc_match
-0.0014750677,0.0035897845,-0.085288145,-0.32641834,0.025730597,-0.0150468135,0.030166067,-0.024670875,-0.041059032,-0.04817973,-0.003944194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005191282
-0.0043109916,0.028109692,-0.0067486833,0.108288236,0.021089591,0.053714104,0.03376051,-0.002390401,0.029708521,0.034369025,0.024654733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005485603
-0.0039801053,-0.103313,-0.10133613,-0.18217531,-0.18345894,-0.022066345,-0.054028686,0.065321706,0.017325483,0.05531141,-0.039467435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039935278
-0.0035813681,-0.02727033,-0.016495895,0.22389838,0.0030720504,0.0036582246,0.029134372,-0.049116533,0.011934248,-0.046711214,-0.0031190838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011150303
-0.050126746,0.18509972,0.061445527,0.9423882,0.096785806,0.14467654,0.15729465,0.13696124,0.016573118,0.03400614,0.044010296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029967173
0.01699587,-0.006191523,-0.057040688,0.41869628,-0.019548886,0.02449423,0.020892158,0.07034134,0.005762563,-0.007971082,-0.079573736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003183555
0.020169606,-0.008909764,0.04464766,0.10495687,0.038825314,-0.0078057656,0.04267809,-0.0041181413,-0.027655005,0.034745157,0.12860695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026700294
-0.0078049405,-0.06637292,-0.045810286,0.19558583,0.00930682,-0.26996166,0.01954331,-0.036263715,-0.04605001,0.035371263,-0.020673538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019264712
-0.0013047081,0.020063994,-0.042551257,-0.18862501,-0.009822879,-0.08713366,0.043867934,0.010327215,-0.00270631,0.010773868,0.19795787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00052427495
-0.002198484,-0.009712805,0.16796245,-0.16816819,0.052459847,0.0035352008,0.026799832,0.023891494,-0.033223186,0.05117904,0.063257106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018648753
0.018368764,-0.01911238,0.010873588,0.26108205,0.055378806,0.06140853,-0.0074806763,0.022170326,0.0323289,0.06822202,-0.0032312134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020431608
0.0019317195,0.19336091,0.16685769,0.77252036,0.0599219,-0.0013704365,-0.015071933,-0.07805685,0.030779434,0.07365926,0.02816417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017362854
-0.0033234525,-0.043241583,-0.034785613,-0.24152763,-0.007525598,-0.07878081,-0.14411922,-0.07186881,-0.05885728,-0.14607523,-0.118861094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015570428
-0.0015334757,0.06789446,-0.1018005,-0.20266004,0.033848938,0.14189799,0.0961373,0.017736487,0.0709397,0.08343493,-0.041948754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020396374
-0.0025598563,-0.059888594,-0.14324023,-0.3566507,0.03502237,0.0029508723,0.039376684,0.050073136,0.063194506,0.021197706,-0.081328444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043083006
0.00039930697,-0.026232012,0.14397982,-0.17000431,0.093749575,-0.025684476,0.011628116,-0.014588213,0.0523126,0.05579856,0.009571156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040701352
0.026302282,-0.032200113,-0.015647056,-0.21332146,-0.035967465,-0.016947392,0.038861975,-0.0059029274,-0.0042349254,-0.11085723,-0.08042857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00337516
0.015018556,0.00925785,0.022615697,0.19769542,0.05040746,0.05907191,0.06197885,-0.05200828,0.04293222,-0.09822834,-0.027293004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060877497
-0.0060921637,-0.060217366,-0.15811154,0.037604455,0.03649693,-0.03714262,0.020772183,-0.051411543,0.010698481,-0.048718676,-0.019447263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051455745
-0.004499226,0.006535311,0.00748624,0.24677588,0.0053827967,-0.018975252,0.005002593,-0.11022089,-0.008345025,0.026424257,-0.062121578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025456226
-0.0040704403,-0.028792478,-0.025233787,0.24945967,-0.14006746,-0.42170033,0.016607579,-0.056565013,0.024816046,0.098663226,-0.04548487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017300016
